code,name,price,category,brand,cpu1,cpu2,cpu3,ram,disk,vga1,vga2,screen1,screen2,design,size,release,rating,img,full_name
220042001752,Laptop,23990000, Laptop , Acer ,Ryzen 5,5600H,3.3GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card rời,GTX 1650 4GB,"15.6""",Full HD (1920 x 1080),Vỏ nhựa,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,3.6,https://cdn.tgdd.vn/Products/Images/44/263980/Slider/vi-vn-acer-nitro-5-gaming-an515-45-r6ev-r5-nhqbmsv006-2.jpg,"Laptop  Acer  Ryzen 5 5600H 3.3GHz 8 GB Card rời GTX 1650 4GB 15.6"" Full HD (1920 x 1080)"
220042001841,Laptop,17990000, Laptop , Lenovo ,i5,1135G7,2.4GHz,8 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"14""",Full HD (1920 x 1080),Dài 324.2 mm - Rộng 215.7 mm - Dày 19.9 mm - Nặng 1.41 kg,2021,2021,2.0,https://cdn.tgdd.vn/Products/Images/44/269603/Slider/vi-vn-lenovo-ideapad-3-14itl6-i5-82h700wavn-3.jpg,"Laptop  Lenovo  i5 1135G7 2.4GHz 8 GB Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)"
220042001753,Laptop,10990000, Laptop , Acer ,Pentium,N5030,1.1GHz,4 GB,256 GB SSD NVMe PCIe,Card tích hợp,Intel UHD 605,"11.6""",HD (1366 x 768),Dài 295 mm - Rộng 215 mm - Dày 20.99 mm - Nặng 1.4 kg,2021,2021,5.0,https://cdn.tgdd.vn/Products/Images/44/263977/Slider/vi-vn-acer-travelmate-b3-tmb311-31-p49d-n5030-nxvnfsv005-2.jpg,"Laptop  Acer  Pentium N5030 1.1GHz 4 GB Card tích hợp Intel UHD 605 11.6"" HD (1366 x 768)"
220042001736,Laptop,15290000, Laptop , Dell ,i3,1115G4,3GHz,4 GB,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))",Card tích hợp,Intel UHD,"15.6""",Full HD (1920 x 1080),Dài 358.5 mm - Rộng 235.5 mm - Dày 18.9 mm - Nặng 1.7 kg,2021,2021,3.5,https://cdn.tgdd.vn/Products/Images/44/264370/Slider/vi-vn-dell-inspiron-15-3511-i3-p112f001cbl-3.jpg,"Laptop  Dell  i3 1115G4 3GHz 4 GB Card tích hợp Intel UHD 15.6"" Full HD (1920 x 1080)"
220042001795,Laptop,15990000, Laptop , Asus ,i3,1125G4,2GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card tích hợp,Intel UHD,"14""",Full HD (1920 x 1080),Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - Nặng 1.4 kg,2021,2021,3.7,https://cdn.tgdd.vn/Products/Images/44/266829/Slider/vi-vn-asus-vivobook-a415ea-i3-eb1748w-3.jpg,"Laptop  Asus  i3 1125G4 2GHz 8 GB Card tích hợp Intel UHD 14"" Full HD (1920 x 1080)"
220042001738,Laptop,27490000, Laptop , Dell ,i5,11400H,2.7GHz,8 GB,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 512GB (2230))",Card rời,RTX 3050 4GB,"15.6""",Full HD (1920 x 1080),Vỏ nhựa,Dài 357 mm - Rộng 272 mm - Dày 25 mm - Nặng 2.81 kg,Dài 357 mm - Rộng 272 mm - Dày 25 mm - Nặng 2.81 kg,2.3,https://cdn.tgdd.vn/Products/Images/44/264354/Slider/vi-vn-dell-gaming-g15-5511-i5-70266676-3.jpg,"Laptop  Dell  i5 11400H 2.7GHz 8 GB Card rời RTX 3050 4GB 15.6"" Full HD (1920 x 1080)"
220042001840,Laptop,23990000, Laptop , Asus ,i5,1135G7,2.4GHz,8 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"14""",Full HD (1920 x 1080),Vỏ kim loại nguyên khối,Dài 319 mm - Rộng 208 mm - Dày 13.9 mm - Nặng 1.17 kg,Dài 319 mm - Rộng 208 mm - Dày 13.9 mm - Nặng 1.17 kg,4.5,//cdn.tgdd.vn/Products/Images/44/269582/asus-zenbook-ux425ea-i5-ki839w-3.jpg,"Laptop  Asus  i5 1135G7 2.4GHz 8 GB Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)"
220042001829,Laptop,25490000, Laptop , MSI ,i5,11400H,2.7GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card rời,RTX 3050 4GB,"15.6""",Full HD (1920 x 1080),Vỏ nhựa - nắp lưng bằng kim loại,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/269326/Slider/vi-vn-msi-gaming-gf63-thin-11uc-i5-445vn-3.jpg,"Laptop  MSI  i5 11400H 2.7GHz 8 GB Card rời RTX 3050 4GB 15.6"" Full HD (1920 x 1080)"
220042001809,Laptop,29990000, Laptop , HP ,Ryzen 7,5800H,3.2GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card rời,RTX 3050Ti 4GB,"16.1""",Full HD (1920 x 1080),Vỏ nhựa,Dài 370 mm - Rộng 260 mm - Dày 23.5 mm - Nặng 2.41 kg,Dài 370 mm - Rộng 260 mm - Dày 23.5 mm - Nặng 2.41 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/268677/Slider/vi-vn-hp-gaming-victus-16-e0170ax-r7-4r0u7pa-2.jpg,"Laptop  HP  Ryzen 7 5800H 3.2GHz 8 GB Card rời RTX 3050Ti 4GB 16.1"" Full HD (1920 x 1080)"
220042001617,Laptop,26490000, Laptop , Acer ,i5,11400H,2.7GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card rời,RTX 3050 4GB,"15.6""",Full HD (1920 x 1080),Vỏ nhựa,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,3.5,https://cdn.tgdd.vn/Products/Images/44/251999/Slider/vi-vn-acer-nitro-5-gaming-an515-57-54mv-i5-nhqensv003-3.jpg,"Laptop  Acer  i5 11400H 2.7GHz 8 GB Card rời RTX 3050 4GB 15.6"" Full HD (1920 x 1080)"
